DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
4/1/2010,39,",,0",22,",,0"
4/2/2010,40,",,0",14,",,0"
4/3/2010,35,",,0",19,",,0"
4/4/2010,37,",,0",18,",,0"
4/5/2010,43,",,0",24,",,0"
4/6/2010,42,",,0",24,",,0"
4/7/2010,42,",,0",22,",,0"
4/8/2010,52,",,0",26,",,0"
4/9/2010,43,",,0",10,",,0"
4/10/2010,45,",,0",10,",,0"
4/11/2010,57,",,0",19,",,0"
4/12/2010,57,",,0",28,",,0"
4/13/2010,56,",,0",29,",,0"
4/14/2010,49,",,0",29,",,0"
4/15/2010,58,",,0",25,",,0"
4/16/2010,67,",,0",27,",,0"
4/17/2010,73,",,0",37,",,0"
4/18/2010,64,",,0",28,",,0"
4/19/2010,69,",,0",27,",,0"
4/20/2010,75,",,0",31,",,0"
4/21/2010,79,",,0",41,",,0"
4/22/2010,65,",,0",39,",,0"
4/23/2010,49,",,0",26,",,0"
4/24/2010,60,",,0",27,",,0"
4/25/2010,57,",,0",24,",,0"
4/26/2010,56,",,0",26,",,0"
4/27/2010,64,",,0",42,",,0"
4/28/2010,45,",,0",31,",,0"
4/29/2010,46,",,0",30,",,0"
4/30/2010,36,",,0",31,",,0"
5/1/2010,44,",,0",31,",,0"
5/2/2010,45,",,0",31,",,0"
5/3/2010,52,",,0",35,",,0"
5/4/2010,47,",,0",26,",,0"
5/5/2010,43,",,0",24,",,0"
5/6/2010,42,",,0",23,",,0"
5/7/2010,46,",,0",21,",,0"
5/8/2010,53,",,0",28,",,0"
5/9/2010,49,",,0",34,",,0"
5/10/2010,61,",,0",25,",,0"
5/11/2010,59,",,0",32,",,0"
5/12/2010,57,",,0",33,",,0"
5/13/2010,58,",,0",26,",,0"
5/14/2010,66,",,0",29,",,0"
5/15/2010,67,",,0",31,",,0"
5/16/2010,71,",,0",33,",,0"
5/17/2010,73,",,0",40,",,0"
5/18/2010,76,",,0",44,",,0"
5/19/2010,63,",,0",42,",,0"
5/20/2010,65,",,0",34,",,0"
5/21/2010,50,",,0",27,",,0"
5/22/2010,51,",,0",29,",,0"
5/23/2010,46,",,0",32,",,0"
5/24/2010,54,",,0",33,",,0"
5/25/2010,51,",,0",34,",,0"
5/26/2010,59,",,0",40,",,0"
5/27/2010,61,",,0",39,",,0"
5/28/2010,57,",,0",35,",,0"
5/29/2010,50,",,0",38,",,0"
5/30/2010,54,",,0",38,",,0"
5/31/2010,63,",,0",43,",,0"
6/1/2010,56,",,0",44,",,0"
6/2/2010,58,",,0",45,",,0"
6/3/2010,55,",,0",45,",,0"
6/4/2010,58,",,0",44,",,0"
6/5/2010,55,",,0",44,",,0"
6/6/2010,66,",,0",46,",,0"
6/7/2010,65,",,0",43,",,0"
6/8/2010,67,",,0",35,",,0"
6/9/2010,73,",,0",49,",,0"
6/10/2010,65,",,0",41,",,0"
6/11/2010,53,",,0",38,",,0"
6/12/2010,60,",,0",35,",,0"
6/13/2010,70,",,0",34,",,0"
6/14/2010,77,",,0",39,",,0"
6/15/2010,79,",,0",46,",,0"
6/16/2010,68,",,0",44,",,0"
6/17/2010,55,",,0",36,",,0"
6/18/2010,52,",,0",29,",,0"
6/19/2010,70,",,0",39,",,0"
6/20/2010,74,",,0",41,",,0"
6/21/2010,62,",,0",41,",,0"
6/22/2010,65,",,0",37,",,0"
6/23/2010,70,",,0",39,",,0"
6/24/2010,83,",,0",51,",,0"
6/25/2010,79,",,0",47,",,0"
