SpringName,Longitude,Latitude,Elevation_ft,Date,ppt_in
Artemis,-114.8381,45.0808,6280,2016-01,1.39
Artemis,-114.8381,45.0808,6280,2016-02,1.36
Artemis,-114.8381,45.0808,6280,2016-03,2.59
Artemis,-114.8381,45.0808,6280,2016-04,1.66
Artemis,-114.8381,45.0808,6280,2016-05,2.23
Artemis,-114.8381,45.0808,6280,2016-06,0.76
Artemis,-114.8381,45.0808,6280,2016-07,0.87
Artemis,-114.8381,45.0808,6280,2016-08,0.13
Artemis,-114.8381,45.0808,6280,2016-09,1.27
Artemis,-114.8381,45.0808,6280,2016-10,3.57
Artemis,-114.8381,45.0808,6280,2016-11,1.24
Artemis,-114.8381,45.0808,6280,2016-12,3.37
Artemis,-114.8381,45.0808,6280,2017-01,1.75
Artemis,-114.8381,45.0808,6280,2017-02,3.28
Artemis,-114.8381,45.0808,6280,2017-03,3.6
Artemis,-114.8381,45.0808,6280,2017-04,2.88
Artemis,-114.8381,45.0808,6280,2017-05,1.98
Artemis,-114.8381,45.0808,6280,2017-06,2.59
Artemis,-114.8381,45.0808,6280,2017-07,0.65
Artemis,-114.8381,45.0808,6280,2017-08,0.21
Artemis,-114.8381,45.0808,6280,2017-09,2.62
Artemis,-114.8381,45.0808,6280,2017-10,2.09
Artemis,-114.8381,45.0808,6280,2017-11,3.18
Artemis,-114.8381,45.0808,6280,2017-12,3.27
Artemis,-114.8381,45.0808,6280,2018-01,1.98
Artemis,-114.8381,45.0808,6280,2018-02,2.89
Artemis,-114.8381,45.0808,6280,2018-03,2.21
Artemis,-114.8381,45.0808,6280,2018-04,2.65
Artemis,-114.8381,45.0808,6280,2018-05,2.32
Artemis,-114.8381,45.0808,6280,2018-06,2.75
Artemis,-114.8381,45.0808,6280,2018-07,0
Artemis,-114.8381,45.0808,6280,2018-08,0.73
Artemis,-114.8381,45.0808,6280,2018-09,0.13
Artemis,-114.8381,45.0808,6280,2018-10,2.02
Artemis,-114.8381,45.0808,6280,2018-11,1.59
Artemis,-114.8381,45.0808,6280,2018-12,1.3
Artemis,-114.8381,45.0808,6280,2019-01,0.98
Artemis,-114.8381,45.0808,6280,2019-02,1.86
Artemis,-114.8381,45.0808,6280,2019-03,1.24
Artemis,-114.8381,45.0808,6280,2019-04,2.92
Artemis,-114.8381,45.0808,6280,2019-05,2.02
Artemis,-114.8381,45.0808,6280,2019-06,1.39
Artemis,-114.8381,45.0808,6280,2019-07,0.96
Artemis,-114.8381,45.0808,6280,2019-08,0.75
Artemis,-114.8381,45.0808,6280,2019-09,2.07
Artemis,-114.8381,45.0808,6280,2019-10,2.15
Artemis,-114.8381,45.0808,6280,2019-11,0.87
Artemis,-114.8381,45.0808,6280,2019-12,1.12
Artemis,-114.8381,45.0808,6280,2020-01,2.76
Artemis,-114.8381,45.0808,6280,2020-02,3.36
Artemis,-114.8381,45.0808,6280,2020-03,1.54
Artemis,-114.8381,45.0808,6280,2020-04,1.91
Artemis,-114.8381,45.0808,6280,2020-05,2.89
