Date,SPEI
1/5/1980,0.32
1/10/1980,0.71
1/15/1980,0.8
1/20/1980,0.03
1/25/1980,-0.24
1/30/1980,-0.1
2/4/1980,0.17
2/9/1980,0.24
2/14/1980,0.17
2/19/1980,0.1
2/24/1980,-0.1
2/29/1980,0.03
3/5/1980,-0.24
3/10/1980,-0.24
3/15/1980,-0.1
3/20/1980,0.03
3/25/1980,0.03
3/30/1980,0.1
4/4/1980,-0.03
4/9/1980,-0.24
4/14/1980,-0.46
4/19/1980,-0.71
4/24/1980,-0.9
4/29/1980,-0.46
5/4/1980,-0.71
5/9/1980,-0.32
5/14/1980,-0.24
5/19/1980,-0.17
5/24/1980,0.1
5/29/1980,0.54
6/3/1980,0.63
6/8/1980,0.32
6/13/1980,0.54
6/18/1980,0.47
6/23/1980,0.71
6/28/1980,0.63
7/3/1980,1.01
7/8/1980,1.01
7/13/1980,2.09
7/18/1980,2.09
7/23/1980,2.09
7/28/1980,2.09
8/2/1980,2.09
8/7/1980,1.69
8/12/1980,1.69
8/17/1980,1.69
8/22/1980,1.69
8/27/1980,1.13
9/1/1980,1.13
9/6/1980,1.13
9/11/1980,1.01
9/16/1980,1.01
9/21/1980,0.8
9/26/1980,0.54
10/1/1980,0.54
10/6/1980,0.63
10/11/1980,0.1
10/16/1980,0.32
10/21/1980,0.32
10/26/1980,0.24
10/31/1980,0.03
11/5/1980,-0.03
11/10/1980,0.1
11/15/1980,-0.24
11/20/1980,-0.24
11/25/1980,-0.39
11/30/1980,-0.46
12/5/1980,-0.46
12/10/1980,-0.32
12/15/1980,-0.9
12/20/1980,-1.01
12/25/1980,-0.1
12/30/1980,-0.1
1/5/1981,-0.17
1/10/1981,-0.32
1/15/1981,-0.39
1/20/1981,-0.54
1/25/1981,0.03
1/30/1981,0.17
2/4/1981,-0.17
2/9/1981,-0.39
2/14/1981,0.39
2/19/1981,0.39
2/24/1981,0.39
3/1/1981,0.47
3/6/1981,0.24
3/11/1981,0.03
3/16/1981,0.17
3/21/1981,-0.1
3/26/1981,-0.17
3/31/1981,-0.03
4/5/1981,0.03
4/10/1981,0.17
4/15/1981,0.32
4/20/1981,0.32
4/25/1981,0.47
4/30/1981,0.32
5/5/1981,0.71
5/10/1981,0.71
5/15/1981,0.63
5/20/1981,0.39
5/25/1981,0.39
5/30/1981,0.39
6/4/1981,0.47
6/9/1981,1.13
6/14/1981,1.01
6/19/1981,2.09
6/24/1981,1.69
6/29/1981,1.28
7/4/1981,0.9
7/9/1981,1.69
7/14/1981,1.69
7/19/1981,1.69
7/24/1981,1.28
7/29/1981,1.13
8/3/1981,1.28
8/8/1981,1.28
8/13/1981,1.01
8/18/1981,0.9
8/23/1981,0.63
8/28/1981,0.9
9/2/1981,0.9
9/7/1981,0.32
9/12/1981,0.1
9/17/1981,-0.62
9/22/1981,-0.54
9/27/1981,-0.17
10/2/1981,0.17
10/7/1981,-0.03
10/12/1981,0.17
10/17/1981,0.03
10/22/1981,-0.03
10/27/1981,0.03
11/1/1981,-0.17
11/6/1981,-0.24
11/11/1981,-0.24
11/16/1981,-0.1
11/21/1981,0.17
11/26/1981,0.17
12/1/1981,0.1
12/6/1981,0.54
12/11/1981,0.54
12/16/1981,0.8
12/21/1981,1.01
12/26/1981,0.71
12/31/1981,0.63
1/5/1982,0.39
1/10/1982,-0.03
1/15/1982,0.39
1/20/1982,0.63
1/25/1982,0.71
1/30/1982,0.9
2/4/1982,1.01
2/9/1982,1.01
2/14/1982,0.8
2/19/1982,1.13
2/24/1982,1.28
3/1/1982,1.28
3/6/1982,1.13
3/11/1982,1.28
3/16/1982,1.13
3/21/1982,1.01
3/26/1982,0.71
3/31/1982,1.01
4/5/1982,0.9
4/10/1982,1.13
4/15/1982,1.13
4/20/1982,1.01
4/25/1982,0.63
4/30/1982,0.71
5/5/1982,0.63
5/10/1982,0.63
5/15/1982,0.47
5/20/1982,-0.03
5/25/1982,-0.24
5/30/1982,-0.17
6/4/1982,-0.54
6/9/1982,-0.62
6/14/1982,-0.8
6/19/1982,-0.9
6/24/1982,-0.8
6/29/1982,-0.62
7/4/1982,-0.17
7/9/1982,-0.03
7/14/1982,-0.24
7/19/1982,-0.24
7/24/1982,-0.03
7/29/1982,-0.03
8/3/1982,-0.03
8/8/1982,0.03
8/13/1982,0.32
8/18/1982,0.54
8/23/1982,0.71
8/28/1982,0.54
9/2/1982,0.71
9/7/1982,0.8
9/12/1982,1.13
9/17/1982,1.28
9/22/1982,1.28
9/27/1982,1.69
10/2/1982,1.45
10/7/1982,1.13
10/12/1982,1.01
10/17/1982,1.13
10/22/1982,1.13
10/27/1982,1.13
11/1/1982,1.13
11/6/1982,1.45
11/11/1982,0.9
11/16/1982,0.71
11/21/1982,1.13
11/26/1982,0.9
12/1/1982,0.8
12/6/1982,1.28
12/11/1982,0.71
12/16/1982,0.71
12/21/1982,1.28
12/26/1982,0.54
12/31/1982,0.1
1/5/1983,0.54
1/10/1983,0.54
1/15/1983,0.17
1/20/1983,0.1
1/25/1983,-0.17
1/30/1983,-0.46
2/4/1983,-0.32
2/9/1983,-0.03
2/14/1983,-0.03
2/19/1983,0.17
2/24/1983,0.17
3/1/1983,0.39
3/6/1983,0.47
3/11/1983,0.63
3/16/1983,0.39
3/21/1983,0.17
3/26/1983,0.17
3/31/1983,0.71
4/5/1983,0.17
4/10/1983,0.39
4/15/1983,0.39
4/20/1983,0.39
4/25/1983,0.9
4/30/1983,0.9
5/5/1983,0.9
5/10/1983,1.01
5/15/1983,1.13
5/20/1983,0.63
5/25/1983,0.47
5/30/1983,0.03
6/4/1983,-0.46
6/9/1983,-0.9
6/14/1983,-0.62
6/19/1983,-0.24
6/24/1983,-0.17
6/29/1983,-0.03
7/4/1983,0.17
7/9/1983,0.17
7/14/1983,0.47
7/19/1983,0.47
7/24/1983,0.71
7/29/1983,1.01
8/3/1983,0.9
8/8/1983,0.39
8/13/1983,0.63
8/18/1983,0.71
8/23/1983,1.13
8/28/1983,1.45
9/2/1983,1.69
9/7/1983,1.69
9/12/1983,2.09
9/17/1983,1.69
9/22/1983,2.09
9/27/1983,1.13
10/2/1983,1.01
10/7/1983,0.9
10/12/1983,0.8
10/17/1983,0.8
10/22/1983,0.8
10/27/1983,0.71
11/1/1983,0.47
11/6/1983,0.9
11/11/1983,1.01
11/16/1983,1.69
11/21/1983,2.09
11/26/1983,1.45
12/1/1983,0.9
12/6/1983,0.9
12/11/1983,1.13
12/16/1983,1.01
12/21/1983,0.8
12/26/1983,1.13
12/31/1983,1.13
1/5/1984,1.01
1/10/1984,0.8
1/15/1984,0.71
1/20/1984,0.32
1/25/1984,0.8
1/30/1984,0.8
2/4/1984,0.17
2/9/1984,-0.24
2/14/1984,-0.39
2/19/1984,-0.54
2/24/1984,-0.39
2/29/1984,-0.46
