"","SpringName","site_type","Water_Year","max_ndvi","max_ndvi_doy","amplitude_ndvi","dur_80th_ndvi","sos_doy_ndvi","eos_doy_ndvi","gsl_ndvi","CWB_tot_mm","snowmelt_timing","Dec_CWB_mm","Nov_CWB_mm","Oct_CWB_mm","Apr_CWB_mm","Aug_CWB_mm","Feb_CWB_mm","Jan_CWB_mm","Jul_CWB_mm","Jun_CWB_mm","Mar_CWB_mm","May_CWB_mm","Sep_CWB_mm","Fall_CWB_mm","Spring_CWB_mm","Summer_CWB_mm","Winter_CWB_mm","Latitude","Longitude","Elevation_m","TWI","Aspect","HLI","WEI"
"1","Artemis","Non-Spring","2018",0.469165838128021,174,0.185431247866833,36.6,137,237,100,243.75,101.673333333333,83.06,80.77,45.32,45.4,-84.74,73.41,50.29,-91.86,16.77,56.13,20.24,-51.04,209.15,82.41,-227.64,179.83,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"2","Artemis","Non-Spring","2017",0.485775879399161,172,0.182287287297408,40.8,141,219,78,292.87,117.84,85.6,31.5,60.89,58.1,-106.61,83.31,44.45,-80.93,1.99,85.56,16.95,12.06,177.99,77.04,-175.48,213.32,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"3","Artemis","Non-Spring","2019",0.46224923482139,174,0.180792607002317,37,136,233,97,105.7,132.24,33.02,40.39,39.69,41.62,-86.53,47.24,24.89,-60.03,-22.51,31.5,20.69,-4.27,113.1,39.8,-150.83,103.63,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"4","Artemis","Non-Spring","2020",0.464649810928378,182,0.184673725154672,37.6,140,229,89,220.31,133.2,28.45,22.1,54.61,36.04,-96.1,85.34,70.1,-58.01,41.66,39.12,43,-46,105.16,120.7,-200.11,194.56,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"5","Artemis","Non-Spring","2021",0.45138703792053,173,0.203260277851155,39,143,247,105,-48.54,117.48,49.78,36.83,32.13,-8.05,-72.22,53.09,24.64,-83.35,-65.94,25.15,10.43,-51.03,118.74,-63.56,-206.6,102.88,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"6","Artemis","Non-Spring","2022",0.492110817654724,188,0.220688087096069,40.8,148,222,73,202.03,111.706666666667,67.06,35.81,33.58,68.25,-90.18,24.38,54.61,-73.63,-4,37.72,79.05,-30.62,136.45,143.3,-194.43,116.71,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"7","Artemis","Non-Spring","2023",0.48793384916478,176,0.188761036438916,34.8,144,223,80,225.12,133.6,55.12,54.1,7.37,28.62,-3.99,14.99,20.57,-67.49,39.06,72.14,9.89,-5.26,116.59,77.57,-76.74,107.7,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"8","Artemis","Non-Spring","2024",0.448302691642811,175,0.188142516952295,32.8,143,242,98,68.03,122.253333333333,33.53,45.21,11.58,44.02,-94.36,44.45,31.75,-90.3,-35.41,44.96,29.23,3.37,90.32,37.84,-181.29,121.16,45.08102603,-114.8385703,1958.382348,1.855831623,227.2511604,0.959453106,0.781576216
"9","Artemis","Spring","2024",0.651562031879091,181,0.282352029489744,32.8,142,244,102,68.03,122.253333333333,33.53,45.21,11.58,44.02,-94.36,44.45,31.75,-90.3,-35.41,44.96,29.23,3.37,90.32,37.84,-181.29,121.16,45.08076064,-114.8380823,1962.351906,4.279268265,238.4788286,0.996852696,0.695845842
"10","Artemis","Spring","2018",0.66417113243414,171,0.289229431303031,36.6,141,239,97,243.75,101.673333333333,83.06,80.77,45.32,45.4,-84.74,73.41,50.29,-91.86,16.77,56.13,20.24,-51.04,209.15,82.41,-227.64,179.83,45.08076064,-114.8380823,1962.351906,4.279268265,238.4788286,0.996852696,0.695845842
