Year,Month,Day,Date,mintemp_C,maxtemp_C,precip_mm,vpd_kpa
1991,1,1,1/1/1991,-12.85,-1.45,0.4,0.15
1991,1,2,1/2/1991,-16.85,-2.35,0,0.15
1991,1,3,1/3/1991,-14.75,-1.55,0,0.17
1991,1,4,1/4/1991,-14.75,-1.45,0,0.18
1991,1,5,1/5/1991,-16.75,-3.65,0,0.15
1991,1,6,1/6/1991,-14.85,-2.35,0,0.15
1991,1,7,1/7/1991,-10.45,-1.85,0.3,0.13
1991,1,8,1/8/1991,-11.55,-2.15,0,0.13
1991,1,9,1/9/1991,-12.65,-1.05,0,0.16
1991,1,10,1/10/1991,-10.55,-2.05,0,0.09
1991,1,11,1/11/1991,-7.95,2.95,0.5,0.16
1991,1,12,1/12/1991,-5.45,3.65,3.6,0.15
1991,1,13,1/13/1991,-5.95,2.35,1.7,0.17
1991,1,14,1/14/1991,-7.35,0.55,2.6,0.12
1991,1,15,1/15/1991,-8.05,0.35,2.1,0.13
1991,1,16,1/16/1991,-11.25,-0.75,0.3,0.11
1991,1,17,1/17/1991,-7.05,2.15,1.1,0.15
1991,1,18,1/18/1991,-8.35,2.65,0,0.2
1991,1,19,1/19/1991,-13.05,-2.05,0,0.15
1991,1,20,1/20/1991,-16.65,-5.15,0,0.1
1991,1,21,1/21/1991,-15.05,-2.45,0,0.16
1991,1,22,1/22/1991,-13.85,-2.05,0,0.14
1991,1,23,1/23/1991,-15.05,-3.05,0,0.12
1991,1,24,1/24/1991,-14.05,-5.85,0,0.11
1991,1,25,1/25/1991,-18.65,-6.85,0,0.09
1991,1,26,1/26/1991,-16.95,-3.75,0,0.13
1991,1,27,1/27/1991,-15.85,-3.25,0,0.13
1991,1,28,1/28/1991,-18.25,-7.15,0,0.1
1991,1,29,1/29/1991,-21.15,-6.15,0,0.13
1991,1,30,1/30/1991,-14.95,0.05,0.5,0.21
1991,1,31,1/31/1991,-9.25,4.35,0,0.36
1991,2,1,2/1/1991,-7.55,6.75,0,0.38
1991,2,2,2/2/1991,-4.55,8.15,0,0.46
1991,2,3,2/3/1991,-4.55,6.05,0,0.2
1991,2,4,2/4/1991,-4.95,8.85,0,0.32
1991,2,5,2/5/1991,-3.95,6.75,0.4,0.22
1991,2,6,2/6/1991,-5.65,8.05,0,0.34
1991,2,7,2/7/1991,-4.25,9.15,0,0.42
1991,2,8,2/8/1991,-4.55,8.25,0,0.37
1991,2,9,2/9/1991,-4.35,7.65,0,0.38
1991,2,10,2/10/1991,-5.45,7.95,0,0.42
1991,2,11,2/11/1991,-4.65,8.55,0,0.44
1991,2,12,2/12/1991,-4.55,3.95,0,0.24
1991,2,13,2/13/1991,-5.05,4.05,0.3,0.12
1991,2,14,2/14/1991,-4.35,8.75,0,0.2
1991,2,15,2/15/1991,-2.95,8.35,3.1,0.22
1991,2,16,2/16/1991,-5.05,4.95,7.5,0.12
1991,2,17,2/17/1991,-6.95,0.65,0,0.16
1991,2,18,2/18/1991,-9.25,1.45,0,0.16
1991,2,19,2/19/1991,-6.65,5.85,0.3,0.18
1991,2,20,2/20/1991,-3.85,5.75,0,0.21
1991,2,21,2/21/1991,-4.95,7.75,0,0.28
1991,2,22,2/22/1991,-4.05,9.75,0,0.49
1991,2,23,2/23/1991,-7.35,3.85,0,0.25
1991,2,24,2/24/1991,-8.65,4.45,0,0.3
1991,2,25,2/25/1991,-9.65,3.75,0,0.2
1991,2,26,2/26/1991,-5.85,4.85,0,0.28
1991,2,27,2/27/1991,-6.65,5.95,0,0.34
1991,2,28,2/28/1991,-4.35,10.15,0.3,0.52
1991,3,1,3/1/1991,-2.05,8.45,1.5,0.33
1991,3,2,3/2/1991,-2.25,5.95,7.8,0.25
1991,3,3,3/3/1991,-4.65,6.95,6.2,0.24
1991,3,4,3/4/1991,-2.15,9.15,7.1,0.34
1991,3,5,3/5/1991,-8.65,5.55,2,0.3
1991,3,6,3/6/1991,-9.35,-1.05,0,0.22
1991,3,7,3/7/1991,-9.45,2.15,0,0.27
1991,3,8,3/8/1991,-7.05,5.35,0,0.34
1991,3,9,3/9/1991,-8.05,7.15,0,0.35
1991,3,10,3/10/1991,-3.75,5.75,0.6,0.31
1991,3,11,3/11/1991,-6.05,1.35,0,0.2
1991,3,12,3/12/1991,-6.15,6.05,0,0.33
1991,3,13,3/13/1991,-4.45,2.85,1.2,0.18
1991,3,14,3/14/1991,-5.45,3.25,0.5,0.2
1991,3,15,3/15/1991,-6.45,5.05,0,0.26
1991,3,16,3/16/1991,-10.75,3.15,0,0.19
1991,3,17,3/17/1991,-6.25,5.75,0,0.29
1991,3,18,3/18/1991,-4.55,9.75,0,0.41
1991,3,19,3/19/1991,-1.35,10.25,0,0.46
1991,3,20,3/20/1991,-2.75,6.65,0.5,0.33
1991,3,21,3/21/1991,-3.05,7.95,0,0.38
1991,3,22,3/22/1991,-3.05,6.35,0,0.35
1991,3,23,3/23/1991,-3.35,7.85,1.7,0.38
1991,3,24,3/24/1991,-4.75,5.75,0.6,0.31
1991,3,25,3/25/1991,-4.65,9.25,0,0.5
1991,3,26,3/26/1991,-5.55,4.75,0,0.34
1991,3,27,3/27/1991,-6.65,5.75,0,0.38
1991,3,28,3/28/1991,-5.65,8.15,0,0.42
1991,3,29,3/29/1991,-5.85,5.65,0,0.32
1991,3,30,3/30/1991,-5.25,12.35,0,0.51
1991,3,31,3/31/1991,-1.75,13.15,0,0.58
1991,4,1,4/1/1991,1.55,16.75,0.9,0.77
1991,4,2,4/2/1991,0.25,11.05,0.8,0.36
1991,4,3,4/3/1991,-3.45,10.05,2.1,0.37
1991,4,4,4/4/1991,0.75,13.15,2.5,0.42
1991,4,5,4/5/1991,3.25,13.25,5.2,0.52
1991,4,6,4/6/1991,-1.25,7.85,6.7,0.28
1991,4,7,4/7/1991,-4.75,3.65,1.5,0.26
1991,4,8,4/8/1991,-4.95,4.35,1.6,0.34
1991,4,9,4/9/1991,-4.45,6.95,3.7,0.29
1991,4,10,4/10/1991,-7.15,1.35,0.3,0.26
1991,4,11,4/11/1991,-6.95,4.95,1.1,0.26
1991,4,12,4/12/1991,-4.85,4.75,0,0.32
1991,4,13,4/13/1991,-7.35,7.25,0,0.29
1991,4,14,4/14/1991,-3.75,9.35,0,0.34
1991,4,15,4/15/1991,-2.05,7.65,4.9,0.24
1991,4,16,4/16/1991,-1.95,8.45,2.1,0.28
1991,4,17,4/17/1991,-1.45,8.15,0.4,0.36
1991,4,18,4/18/1991,-1.35,10.65,0,0.43
1991,4,19,4/19/1991,-1.05,11.85,0,0.51
1991,4,20,4/20/1991,-0.55,14.85,0,0.67
1991,4,21,4/21/1991,-0.05,15.85,0,0.65
1991,4,22,4/22/1991,0.85,16.85,0,0.73
1991,4,23,4/23/1991,2.15,16.15,2.5,0.7
1991,4,24,4/24/1991,1.65,12.25,3.9,0.47
1991,4,25,4/25/1991,-2.25,6.65,2.4,0.31
1991,4,26,4/26/1991,-4.65,5.25,0.6,0.34
1991,4,27,4/27/1991,-4.85,3.75,0.3,0.28
1991,4,28,4/28/1991,-4.15,8.85,0.4,0.35
1991,4,29,4/29/1991,-3.15,5.65,2,0.22
1991,4,30,4/30/1991,-3.85,10.85,0,0.44
1991,5,1,5/1/1991,-0.05,13.25,0,0.6
1991,5,2,5/2/1991,-1.65,8.85,0,0.31
1991,5,3,5/3/1991,-0.35,7.35,0,0.35
1991,5,4,5/4/1991,-0.05,10.35,0,0.45
1991,5,5,5/5/1991,0.95,15.65,0,0.68
1991,5,6,5/6/1991,5.05,14.05,6.7,0.53
1991,5,7,5/7/1991,2.25,13.85,2.5,0.43
1991,5,8,5/8/1991,2.95,13.35,7.2,0.4
1991,5,9,5/9/1991,-0.25,7.15,1.3,0.3
1991,5,10,5/10/1991,-1.45,8.65,1.6,0.23
1991,5,11,5/11/1991,1.55,13.85,4.4,0.53
1991,5,12,5/12/1991,0.75,11.05,0.4,0.44
1991,5,13,5/13/1991,0.65,15.35,4.7,0.52
1991,5,14,5/14/1991,2.65,12.55,3.2,0.4
1991,5,15,5/15/1991,0.15,16.75,0,0.63
1991,5,16,5/16/1991,2.05,16.55,0,0.69
1991,5,17,5/17/1991,3.85,18.55,7,0.71
1991,5,18,5/18/1991,2.95,17.75,2.4,0.7
1991,5,19,5/19/1991,0.95,14.65,1.3,0.55
1991,5,20,5/20/1991,3.35,18.85,0.3,0.8
1991,5,21,5/21/1991,3.75,19.55,0,0.81
1991,5,22,5/22/1991,5.35,20.85,0,0.87
1991,5,23,5/23/1991,2.95,19.45,0,0.79
1991,5,24,5/24/1991,4.85,20.45,1.8,0.91
1991,5,25,5/25/1991,3.55,15.15,5.4,0.55
1991,5,26,5/26/1991,-1.75,11.45,0,0.46
1991,5,27,5/27/1991,0.45,10.45,1.7,0.45
1991,5,28,5/28/1991,-0.55,14.85,0,0.63
1991,5,29,5/29/1991,2.75,16.25,1.1,0.72
1991,5,30,5/30/1991,3.75,10.95,3.7,0.41
1991,5,31,5/31/1991,0.15,17.55,0,0.52
1991,6,1,6/1/1991,3.75,21.85,0,0.82
1991,6,2,6/2/1991,6.45,23.45,0,1.07
1991,6,3,6/3/1991,6.05,20.75,0,0.86
1991,6,4,6/4/1991,1.75,13.65,5.3,0.36
1991,6,5,6/5/1991,2.25,17.75,8.5,0.58
1991,6,6,6/6/1991,5.15,19.85,1.5,0.84
1991,6,7,6/7/1991,5.35,15.85,0,0.61
1991,6,8,6/8/1991,4.65,17.25,0,0.57
1991,6,9,6/9/1991,4.75,21.85,0,0.87
1991,6,10,6/10/1991,8.25,23.55,0.3,1.16
1991,6,11,6/11/1991,11.15,24.85,0.3,1.38
1991,6,12,6/12/1991,3.95,19.65,0,0.9
1991,6,13,6/13/1991,0.35,14.75,0,0.54
1991,6,14,6/14/1991,1.15,11.35,0,0.49
1991,6,15,6/15/1991,0.15,19.45,0,0.9
1991,6,16,6/16/1991,5.95,18.75,0,0.92
1991,6,17,6/17/1991,-0.45,16.05,0,0.65
1991,6,18,6/18/1991,1.95,22.35,0.6,1.1
1991,6,19,6/19/1991,7.65,25.15,0.4,1.31
1991,6,20,6/20/1991,5.65,19.25,0.5,0.87
1991,6,21,6/21/1991,3.15,20.45,0,0.93
1991,6,22,6/22/1991,5.45,21.65,0,1.01
1991,6,23,6/23/1991,6.15,22.05,0,1.03
1991,6,24,6/24/1991,7.15,22.35,3.7,0.94
1991,6,25,6/25/1991,4.15,15.95,3.9,0.48
1991,6,26,6/26/1991,4.85,17.45,4.2,0.66
1991,6,27,6/27/1991,4.65,20.75,3.2,0.86
1991,6,28,6/28/1991,7.45,19.85,3.6,0.77
1991,6,29,6/29/1991,7.75,19.45,9.2,0.73
1991,6,30,6/30/1991,5.45,21.15,2.7,0.76
1991,7,1,7/1/1991,3.55,23.85,0,0.97
1991,7,2,7/2/1991,7.95,27.45,0,1.4
1991,7,3,7/3/1991,9.15,31.45,0,1.99
1991,7,4,7/4/1991,11.05,32.05,0,2.05
1991,7,5,7/5/1991,9.65,28.85,0,1.74
1991,7,6,7/6/1991,6.55,26.65,0,1.48
1991,7,7,7/7/1991,3.05,27.85,0,1.54
1991,7,8,7/8/1991,6.95,28.15,0,1.58
1991,7,9,7/9/1991,8.25,28.85,2.2,1.64
1991,7,10,7/10/1991,8.55,26.45,1.3,1.31
1991,7,11,7/11/1991,6.55,27.45,0,1.52
1991,7,12,7/12/1991,8.25,31.05,0,2.02
1991,7,13,7/13/1991,11.75,34.55,0,2.47
1991,7,14,7/14/1991,11.15,31.45,0,1.68
1991,7,15,7/15/1991,9.35,30.75,0,1.82
1991,7,16,7/16/1991,9.25,31.35,0,1.92
1991,7,17,7/17/1991,8.15,26.85,0,1.27
1991,7,18,7/18/1991,5.25,25.95,0,1.3
1991,7,19,7/19/1991,6.05,27.65,0,1.57
1991,7,20,7/20/1991,7.55,28.85,0,1.63
1991,7,21,7/21/1991,10.55,29.05,0,1.69
1991,7,22,7/22/1991,9.15,29.85,0.7,1.6
1991,7,23,7/23/1991,11.05,30.95,5.2,1.87
1991,7,24,7/24/1991,13.25,28.75,2.4,1.69
1991,7,25,7/25/1991,11.85,29.45,6.4,1.68
1991,7,26,7/26/1991,8.75,27.25,0,1.25
1991,7,27,7/27/1991,8.25,28.85,0,1.65
1991,7,28,7/28/1991,9.45,30.75,0,1.92
1991,7,29,7/29/1991,10.95,32.25,0,2.16
1991,7,30,7/30/1991,9.95,30.15,0,1.89
1991,7,31,7/31/1991,8.15,30.85,0,2
1991,8,1,8/1/1991,10.35,26.75,0,1.4
1991,8,2,8/2/1991,4.85,25.75,0,1.21
1991,8,3,8/3/1991,6.65,28.75,0,1.73
1991,8,4,8/4/1991,9.75,29.55,0,1.86
1991,8,5,8/5/1991,9.65,28.35,1.7,1.65
1991,8,6,8/6/1991,10.65,29.75,0,1.89
1991,8,7,8/7/1991,9.85,31.45,0.3,2.09
1991,8,8,8/8/1991,12.55,32.55,0,2.43
1991,8,9,8/9/1991,12.05,33.05,0,2.52
1991,8,10,8/10/1991,8.65,30.45,0,1.66
1991,8,11,8/11/1991,6.55,27.65,0,1.56
1991,8,12,8/12/1991,5.95,27.05,0,1.61
1991,8,13,8/13/1991,6.65,28.35,0,1.71
1991,8,14,8/14/1991,6.45,27.65,0,1.49
1991,8,15,8/15/1991,6.95,26.75,0.6,1.25
1991,8,16,8/16/1991,8.15,27.35,5.8,1.29
1991,8,17,8/17/1991,7.05,27.55,1.9,1.26
1991,8,18,8/18/1991,9.25,29.45,0,1.73
1991,8,19,8/19/1991,9.75,30.75,0,1.89
1991,8,20,8/20/1991,10.35,30.65,0,1.82
1991,8,21,8/21/1991,11.25,31.35,0.4,2.08
1991,8,22,8/22/1991,11.65,31.55,0,2.17
1991,8,23,8/23/1991,11.15,30.75,0,2
1991,8,24,8/24/1991,10.05,30.45,0,1.95
1991,8,25,8/25/1991,11.25,27.65,0,1.76
1991,8,26,8/26/1991,8.65,28.05,0.7,1.59
1991,8,27,8/27/1991,10.35,30.25,0.6,1.81
1991,8,28,8/28/1991,6.35,23.85,0.3,1.15
1991,8,29,8/29/1991,6.15,27.95,0,1.68
1991,8,30,8/30/1991,8.25,31.15,0,2.18
1991,8,31,8/31/1991,10.95,28.05,0,1.83
1991,9,1,9/1/1991,9.05,26.95,0,1.66
1991,9,2,9/2/1991,5.35,24.35,0,1.28
1991,9,3,9/3/1991,4.25,25.95,0,1.44
1991,9,4,9/4/1991,6.55,27.45,0,1.68
1991,9,5,9/5/1991,6.45,28.05,0,1.79
1991,9,6,9/6/1991,9.45,28.85,0,1.93
1991,9,7,9/7/1991,10.25,25.85,2.4,1.53
1991,9,8,9/8/1991,5.35,21.15,0.8,1.02
1991,9,9,9/9/1991,3.15,19.45,1,0.79
1991,9,10,9/10/1991,5.15,19.45,7.8,0.73
1991,9,11,9/11/1991,4.45,17.75,3.2,0.61
1991,9,12,9/12/1991,4.25,21.55,0,1.01
1991,9,13,9/13/1991,4.85,21.85,0.9,1.11
