"","spring_name","site_type","year","max_ndvi","max_ndvi_doy","amplitude_ndvi","dur_80th_ndvi","sos_doy_ndvi","eos_doy_ndvi","gsl_ndvi"
"90%","Ceanothus","Spring","2024",0.714369454534699,216.051428571429,0.261395891923625,35.4,165.48,273.702857142857,108.222857142857
"90%1","Ceanothus","Matrix","2024",0.571624355783302,203.914285714286,0.275573251623029,35.4,155.365714285714,277.748571428571,122.382857142857
"90%2","Cougar_37","Spring","2024",0.762030456287786,207.96,0.307429986967488,35.4,165.48,274.714285714286,109.234285714286
"90%3","Cougar_37","Matrix","2024",0.603691410556502,213.017142857143,0.165625445357446,35.4,164.468571428571,269.657142857143,105.188571428571
"90%4","Goat Ridge","Spring","2024",0.753708098380596,185.708571428571,0.285804448704844,35.4,158.4,268.645714285714,110.245714285714
"90%5","Goat Ridge","Matrix","2024",0.622279279218394,185.708571428571,0.225543651340627,35.4,146.262857142857,243.36,97.0971428571428
"90%6","Sedge","Spring","2024",0.717803050949847,210.994285714286,0.243349263186126,35.4,162.445714285714,266.622857142857,104.177142857143
"90%7","Sedge","Matrix","2024",0.625931400557052,209.982857142857,0.133011002333247,35.4,162.445714285714,262.577142857143,100.131428571429
"90%8","Cougar_39","Spring","2024",0.744324731958132,208.971428571429,0.285254262417035,35.4,163.457142857143,269.657142857143,106.2
"90%9","Cougar_39","Matrix","2024",0.604653116752389,198.857142857143,0.155064665327031,35.4,160.422857142857,254.485714285714,94.0628571428571
"90%10","Equisetum","Spring","2024",0.747395903939462,183.685714285714,0.285272030052009,35.4,158.4,265.611428571429,107.211428571429
"90%11","Equisetum","Matrix","2024",0.577728209481673,182.674285714286,0.183036072160976,35.4,153.342857142857,227.177142857143,73.8342857142857
"90%12","Charred Snag","Spring","2024",0.728230620334387,182.674285714286,0.273741313451934,35.4,143.228571428571,251.451428571429,108.222857142857
"90%13","Charred Snag","Matrix","2024",0.591924601242619,169.525714285714,0.249058112631207,35.4,132.102857142857,206.948571428571,74.8457142857143
"90%14","Meadow","Spring","2024",0.707393022732124,179.64,0.31339201517713,63.72,145.251428571429,249.428571428571,104.177142857143
"90%15","Meadow","Matrix","2024",0.511928871378795,165.48,0.20553602484852,35.4,135.137142857143,192.788571428571,57.6514285714285
"90%16","Goat_8","Spring","2024",0.689551477729264,180.651428571429,0.305040381392412,35.4,147.274285714286,265.611428571429,118.337142857143
"90%17","Goat_8","Matrix","2024",0.477915569138901,165.48,0.207110684845238,35.4,137.16,235.268571428571,98.1085714285714
"90%18","Black Talus","Spring","2024",0.689862975194619,174.582857142857,0.298415152259806,35.4,141.205714285714,264.6,123.394285714286
"90%19","Black Talus","Matrix","2024",0.486049794255794,166.491428571429,0.199849600592887,35.4,136.148571428571,221.108571428571,84.96
"90%20","Wolf Skull","Spring","2024",0.729168469153919,184.697142857143,0.233826085586275,40.4571428571429,162.445714285714,268.645714285714,106.2
"90%21","Wolf Skull","Matrix","2024",0.646607109017353,182.674285714286,0.207393387708401,35.4,155.365714285714,267.634285714286,112.268571428571
"90%22","West Goat","Spring","2024",0.755346497673887,171.548571428571,0.309323884939392,35.4,137.16,267.634285714286,130.474285714286
"90%23","West Goat","Matrix","2024",0.509792333743764,162.445714285714,0.213760230822833,35.4,132.102857142857,216.051428571429,83.9485714285714
"90%24","Dunce_4","Spring","2024",0.797910526404476,175.594285714286,0.277169976097188,35.4,144.24,264.6,120.36
"90%25","Dunce_4","Matrix","2024",0.6471630586636,171.548571428571,0.200745332142673,35.4,137.16,221.108571428571,83.9485714285714
